key,english,swahili (proposed),your correction,notes
action_settings,Settings,Mipangilio,,
action_about,About,Kuhusu,,
action_refresh,Refresh stations,Onyesha vituo upya,,
action_recordings,Recordings,Rekodi,,
search_hint,Search stations,Tafuta vituo,,
search_clear,Clear search,Futa utafutaji,,
filter_all,All,Zote,,
filter_favourites,Favourites,Vipendwa,,
station_logo_of,Logo for %1$s,Nembo ya %1$s,,
play_station,Play %1$s,Sikiliza %1$s,,
now_playing_badge,Live,Hewani,,
add_to_favourites,Add %1$s to favourites,Ongeza %1$s kwenye vipendwa,,
remove_from_favourites,Remove %1$s from favourites,Ondoa %1$s kwenye vipendwa,,
empty_title,No stations found,Hakuna kituo kilichopatikana,,
empty_message,Try a different search term.,Jaribu neno lingine la utafutaji.,,
empty_favourites_title,No favourites yet,Bado huna vipendwa,,
empty_favourites_message,Tap the heart on any station to keep it here.,Gusa moyo kwenye kituo chochote ili kikae hapa.,,
error_title,Couldn\'t load stations,Imeshindwa kupakia vituo,,
error_message,Check your connection and try again.,Angalia muunganisho wako kisha ujaribu tena.,,
error_retry,Retry,Jaribu tena,,
offline_title,You\'re offline,Huna muunganisho,,
offline_message,No internet connection. Reconnect and the list will load automatically.,Hakuna intaneti. Unganisha tena na orodha itapakia yenyewe.,,
error_stream_unavailable,That station isn\'t streaming right now.,Kituo hicho hakirushi matangazo kwa sasa.,,
error_notification_permission,Notifications are needed to keep playing in the background.,Arifa zinahitajika ili usikilizaji uendelee chinichini.,,
error_wifi_only,"Wi-Fi only is on, and you\'re not on Wi-Fi. Change it in Settings.","Umewasha Wi-Fi pekee, na huko kwenye Wi-Fi. Badilisha katika Mipangilio.",,technical terms left in English on purpose
player_connecting,Connecting…,Inaunganisha…,,
player_stop,Stop playback,Simamisha usikilizaji,,
player_artwork,Artwork for the station now playing,Picha ya kituo kinachosikika sasa,,
player_casting_to,Playing on %1$s,Inasikika kwenye %1$s,,
recording_start,Record this station,Rekodi kituo hiki,,
recording_stop,Stop recording,Simamisha kurekodi,,
recording_unavailable,"This station only offers an HLS stream, which can\'t be recorded directly.","Kituo hiki kina mkondo wa HLS pekee, ambao hauwezi kurekodiwa moja kwa moja.",,technical terms left in English on purpose
recording_started,Recording %1$s,Inarekodi %1$s,,
recording_saved,Saved as %1$s,Imehifadhiwa kama %1$s,,
recording_failed_storage,Couldn\'t create the file. Check available storage.,Imeshindwa kutengeneza faili. Angalia nafasi ya hifadhi.,,
recording_failed_empty,Nothing was recorded — the stream didn\'t send any audio.,Hakuna kilichorekodiwa — kituo hakikutuma sauti yoyote.,,
recording_needs_storage_permission,Storage access is needed to save recordings on this version of Android.,Ruhusa ya hifadhi inahitajika ili kuhifadhi rekodi kwenye toleo hili la Android.,,technical terms left in English on purpose
recording_notification_title,Recording %1$s,Inarekodi %1$s,,
recording_notification_done_title,Recording finished,Kurekodi kumekamilika,,
recording_channel_name,Recording,Kurekodi,,
recording_channel_description,Shows progress while a station is being recorded,Huonyesha maendeleo wakati kituo kinarekodiwa,,
recording_in_progress,Recording · %1$s,Inarekodi · %1$s,,
